Artist,Track,Lyrics,Genre
Underoath,A Boy Brushed Red Living In Black And White,"Can you feel your heartbeat racing
Can you taste the fear in her sweat
Youve done this wrong
Its too far gone these sheets tell of regret
I admit that Im just a fool for you
I am just a fool for you


Here is where we both go wrong


Tonights your last chance to
Do exactly what you want to
And this could be my night
This is what makes me feel alive makes you feel alive
Here is where we both go wrong
So sign me up and toss this key
Cause for now were living


In this moment that we both ignore the truth
Its all over its all over
I feel your heart against mine
So take a breath and close your eyes eyes
See Underoath LiveGet tickets as low as 42
Your lungs have failed and theyve both stopped breathing
My heart is dead its way past beating
Something has gone terribly wrong
Im scared youre scared were scared of this
I never thought wed make it out alive
I never told you but its all in your goodbyes
Its all in your goodbyes


Well look whos dying now
Slit wrists sleeping with the girl next door
I always knew you were such a sucker for that
It doesnt matter what you say
You never mattered anyway
I never mattered anyway


In this moment that we both ignore the truth
Its all over its all over
I feel your heart against mine
So take a breath and close your eyes eyes


Your lungs have failed and theyve both stopped breathing
My heart is dead its way past beating
Something has gone terribly wrong
Im scared youre scared were scared of this
I never thought wed make it out alive
I never told you but its all in your goodbyes
Its all in your goodbyes

Dont shake I hate to see you tremble
Trembling youve lost your touch
Havent you
Im so addicted
So addicted


Your lungs have failed and theyve both stopped breathing
My heart is dead its way past beating
Something has gone terribly wrong
Gone wrong
Your lungs have failed and theyve both stopped breathing
My heart is dead its way past beating
Something has gone terribly wrong
Im scared youre scared were scared of this
I never thought wed make it out alive
I never told you but its all in your goodbyes
Its all in your goodbyes


I never thought wed make it out alive
I never thought wed make it out alive
I never thought wed make it out alive
Its all in your goodbyes5",metal
Born Of Osiris,A Mind Short Circuiting,"Lightning strikes you twice
As the thunder roars As the thunder roars
Synchronicities this faithful chapter
These stories will be everlasting

Stuck inside a slow storm
A mind short circuiting
A mind short circuiting
Tossed around like inanimate objects
Upside down
Stuck inside a slow storm
A mind short circuiting
A glitch in the matrix

Confine
The wish you made was incomplete

Each layer brings corruption
Leads closer to the end
My codex reads disruption
How far will I descend

Dark clouds of pouring rain
Wrapped in a cyclone
Falling out Im going insane
Slow storm relentless pain
Short circuiting
Blistered winds
Nothing remains
Stuck inside a slow storm
A mind short circuiting
A mind short circuiting
Tossed around like inanimate objects
Upside down
Stuck inside a slow storm
A mind short circuiting
A glitch in the matrix

Dark clouds of pouring rain
Wrapped in a cyclone
Falling out Im going insane
Slow storm relentless pain
Short circuiting
Blistered winds
Nothing remains

Its like I told you
Words as weapons feeling like a wound a sunk in knife
Corrupted programs made by manic ways we lose our lives
We lose our lives
We try to stay alive
A storm inside
Just trying to survive
Words as weapons feeling like a wound a sunk in knife
Corrupted programs made by manic ways we lose our lives",metal
Motörhead,Ace of Spades,"If you like to gamble I tell you Im your man
You win some lose some its all the same to me
The pleasure is to play it makes no difference what you say
I dont share your greed the only card I need is


The Ace of Spades
The Ace of Spades


Playing for the high one dancing with the devil
Going with the flow its all a game to me
Seven or Eleven snake eyes watching you
Double up or quit double stake or split


The Ace of Spades
The Ace of Spades


You know Im born to lose and gamblings for fools
But thats the way I like it baby I dont wanna live forever
And dont forget the joker



Pushing up the ante I know you got to see me
Read em and weep the dead mans hand again
I see it in your eyes take one look and die
The only thing you see you know its gonna be


The Ace of Spades
The Ace of Spades19",rock
Chance the Rapper,Acid Rain,"Kicked off my shoes tripped acid in the rain
Wore my jacket as a cape and my umbrella as a cane
The richest man rocks the snatchless necklace
Spineless bitches in backless dresses
Wore my feelings on my sleeveless
My weed seedless my trees leafless
I miss my diagonal grilled cheeses
And back when Mike Jackson was still Jesus
Before I believed in not believing in
Yeah I inhaled who believed in me not breathing in
Cigarette stained smile all covered in sin
My big homie died young just turned older than him
I seen it happen I seen it happen I see it always
He still be screaming I see his demons in empty hallways
I trip to make the fall shorter
Fall quarter was just a tall order
And Im hungry Im just not that thirsty
As of late all my verses seem not so versey
And all my words just mean controversy
Took the team up off my back like Thats not your jersey
Stressin pullin my hair out hoping I dont get picked
All this medicine in me hoping I dont get sick
Making all of this money hoping I dont get rich
Cause niggas still getting bodied for foams
Sometimes the truth dont rhyme
Sometime the lies get millions of views
Funerals for little girls is that appealing to you
From your cubicle desktop what a beautiful view
I think love is beautiful too
Building forts from broken dams what a hoover could do
For future hoopers dead from Rugers
Shooting through the empty alley
Couldve threw him an alleyoop
Helping him do good in school
Damn that acid burn when it clean ya
I still miss being a senior
And performing at all those open mic events
Eyes closed eyes closed seeing arenas
And I still get jealous of Vic
And Vics still jealous of me
But if you touch my brother
All that antiviolence shit goes out the window along with you
And the rest of your team
Smoking cigarettes to look cooler
I only stop by to look through ya
And Im only getting greedier
And Im still Mr Youmedia
And I still cant find Talent
And Im still choosing classmates that wouldnt fuck
Mom still thinks I should go back to school
And Justin still think Im good enough
And Mama Jan still dont take her meds
And I still be asking God to show his face
And I still be asking God to show his face

I am a new man I am sanctified
Oh I am holy I have been baptized
I have been born again I am the White Light
Rain rain dont go away
Igh209",hiphop
Tomaso Albinoni,Adagio in G Minor,"We can invent Kingdoms of our own
Grand purple thrones those chairs of lust
 love we must in beds of rust
Steel doors lock in prisoners screams
 muzak AM rocks their dreams
No black mens pride to hoist the beams
While mocking angels sift what seems
To be a collage of magazine dust
Scratched on foreheads of walls of trust
This is just jail for those who must
Get up in the morning  fight for such
Unusable standards
While weeping maidens
Showoff penury  pout
Ravings for a mad staff",classical
Hollow Front,Afflicted,"This feverish feeling
Longlasting and fleeting
I yearn for the day a breath can fill my lungsagain
Thentake me away
Itaste the poison everyday


So take meaway
From everything thats kept me sick
Holding onto this pain
Will onlybringmemisery


Ill never bethe last onestanding
A fact of life and now I must face it
This sickness inside
Wont let me hide God knows Ive tried
Discarded unwanted a product of the forgotten
I hope someday Ill find the strength to feel alive


Take me away from all of my suffering
Please bury me with all of my misery
Until I feel the rain
And it helps me wash this pain away
I taste the poison everyday
Everyday

Even though these moments are fleeting
I just know I dont want you to save me
This fever is what keeps my heart beating
And I doubt Ill ever even save myself


Ill never be the last one standing
A fact of life and now I must face it
This darkness inside
Has never been a friend of mine
Discarded unwanted a product of the forgotten
I hope someday Ill find the strength to feel alive


Take me away from all of my suffering
Please bury me with all of my misery
Until I feel the rain
And it helps me wash this pain away
I taste the poison everyday


Even though these moments are fleeting
I just know I dont want you to save me
This fever is what keeps my heart beating
And I doubt Ill ever even save myself
I taste the poison everyday

Take me away
Take me away take me away
Please bury me
Bury me wont you bury me
Until I feel the rain
And it helps me wash this pain away
I taste the poison everyday
Everyday1",metal
J.J. Cale,After Midnight,"After midnight
Were gonna let it all hang out
After midnight
Were gonna chugalug and shout
Were gonna cause talk and suspicion
Give an exhibition
Find out what it is all about

After midnight
Were gonna let it all hang out
After midnight
Gonna shake your tambourine
After midnight
Its gonna be peaches and cream hm
Were gonna cause talk and suspicion
Give an exhibition
Find out what it is all about
After midnight
Were gonna let it all hang out

Were gonna cause talk and suspicion
Give an exhibition
Find out what it is all about

After midnight
Were gonna let it all hang out
After midnight
Were gonna let it all hang out",blues
Northlane,"Afterimage (feat. Ian Kenny, Karnivool)",-1,metal
Stick To Your Guns,Against Them All,"I know you because youre just like me
Always questioning every single thing
Never giving up without a fight
Because for you your resistance is a way of life

Young and angry with every right to be
Bent but not broken hanging on by a thread
Looked past by most looked down on by all
We dont need them its forever us against them all

Woah woah Forever us against them all
Woah woah Forever us against them all
Woah woah Forever us against them all
Woah woah Forever us against them all

A fire burns inside you fueled by everything
That youve ever been through
Every battle you fight goes uphill
But nothing can ever break your iron will

Young and angry with every right to be
Bent but not broken hanging on by a thread
Looked past by most looked down on by all
We dont need them its forever us against them all

Woah woah Forever us against them all
Woah woah Forever us against them all
Woah woah Forever us against them all
Woah woah Forever us against them all
We dont need them",metal
Unorthodocks,Agua Fresca,-1,hiphop
Hound Dog Taylor,Ain't Got Nobody,"Well I aint got nobody
Im sitting here all alone
Yes Ive got nobody woman
Lord Im sitting here all alone
Man the woman I love
I wish she come on home

Well she called me this morning
And she called me on the phone
Yes she called me this morning
Lord she called me on the phone
Well Im coming home to you baby
Im tried of you sitting at home all alone

Well I felt so good
Till I didnt know what to do
Well I felt so good
I didnt know what to do
Well now it aint true baby
This time Im gonna be with you

Well Ill rest all right
My baby aint coming home
Ill sleep all right
My baby aint coming home
Well thats all right darling
I dont care how you doing me wrong",blues
McFadden & Whitehead,Ain't No Stoppin' Us Now - Single Version,-1,disco
Rufus,Ain't Nobody,"Captured effortlessly
Thats the way it was
Happened so naturally
I did not know it was love
The next thing I felt was you
Holding me close
What was I gonna do
I let myself go


And now were flyin through the stars
I hope this night will last forever


Ive been waitin for you
Its been so long
I knew just what I would do
When I heard your song
You filled my heart with a kiss
Ya gave me freedom
You knew I could not resist
I needed someone


And now were flyin through the stars
I hope this night will last forever
Oh oh oh oh

Aint nobody
Loves me better
Makes me happy
Makes me feel this way
Aint nobody
Loves me better than you


I wait for night time to come
To bring you to me
I cant believe Im the one
I was so lonely
I feel like no one could feel
I must be dreamin
I want this dream to be real
I need this feelin


I make my wish upon a star
And hope this night will last forever
Oh oh oh oh


Aint nobody
Loves me better
Makes me happy
Makes me feel this way
Aint nobody
Loves me better than you

At first you put your arms around me
Then you put your charms around me
I cant resist this sweet surrender
On a night so warm and tender
We stare into each others eyes
And what we see is no surprise
Got a feeling most would treasure
And a love so deep we cannot measure


Aint nobody
Loves me better
Makes me happy
Makes me feel this way
Aint nobody
Loves me better than you19",disco
Alpha Wolf,Akudama,"Watch the bodies drop


Cut it off off with the head
Cut it off from the fuckingneck
Cutit off betteroff dead
Cut it off


Say it tomy face better dig two graves
I thought I told you motherfuckers I dont play safe
Oh like a bitter pill
It leaves a bad taste when you bite
The hand that feeds
Ill see you starve See you starve
Because without me
You fall apart


Sick to death of holding my breath
Before I suffocate
Say my fucking name


Akudama
See Alpha Wolf LiveGet tickets as low as 30
Hold your grudge never a candle
Cant throw shade when you live in my shadow
Who the fuck do you think you are
Cut the head off watch the bodies drop


Cut it off off with the head
Cut it off from the fucking neck
Cut it off better off dead
Cut it off


Sick to death of holding my breath
Before I suffocate
Say my fucking name


So fucking sick to death of Sick to death
Having to bite my tongue off Of holding my breath
Another coarse reminder Sick to death
That if Im going nowhere Of holding my breath
I will see you there1",metal
J.B. Lenoir,Alabama Blues,"I never will go back to Alabama that is not the place for me
I never will go back to Alabama that is not the place for me
You know they killed my sister and my brother
And the whole world let them peoples go down there free

I never will love Alabama Alabama seem to never have love for me
I never will love Alabama Alabama seem to never have love for me
Oh God I wish you would rise up one day
Lead my peoples to the land of pea

My brother was taken up for my mother and a police officer shot him down
My brother was taken up for my mother and a police officer shot him down
I cant help but to sit down and cry sometime
Think about how my poor brother lost his life

Alabama Alabama why you wanna be so mean
Alabama Alabama why you wanna be so mean
You got my people behind a barbwire fence
Now you tryin to take my freedom away from me",blues
Mike Bloomfield,Albert's Shuffle,-1,blues
Alexander Scriabin,"Alexander Scriabin - Piano Sonata No. 2 in G-Sharp Minor, Op. 19 Sonata Fantasy I Andante",-1,classical
Jimi Hendrix,All Along the Watchtower,"There must be some kind of way out of here
Said the joker to the thief
Theres too much confusion
I cant get no relief
Businessmen they drink my wine
Plowmen dig my earth
None will level on the line
Nobody offered his word hey




No reason to get excited
The thief he kindly spoke
There are many here among us
Who feel that life is but a joke but uh
But you and I weve been through that
And this is not our fate
So let us stop talking falsely now
The hours getting late hey




Hey

All along the watchtower
Princes kept the view
While all the women came and went
Barefoot servants too well uh
Outside in the cold distance
A wildcat did growl
Two riders were approaching
And the wind began to howl hey


All along the watchtower
Beware
All along the watchtower71",rock
Attack Attack!,All My Life,"You blinded my eyes now for way too long
Well I thought we were friends but you proved me wrong
You got in my head with the things that you said
And you left me a mess now to top it off


Theres one of us here without virtue
Look in the mirror dont want to
Youre keeping me down for your debut
But your reign is through


All my life I was seeing smoke
All my life I was breathing smoke
All my life all my life
All my life I was breathing smoke


You work your way into my lungs
Like a virus in the air
A simple plague cant cut me off
Ill nevr fall in line just to suffocate
Suffocate


Thres one of us here without virtue
Look in the mirror dont want to
Youre keeping me down for your debut
But your reign is through

All my life I was seeing smoke
All my life I was breathing smoke
All my life all my life
All my life I was breathing smoke
All my life all my life
All my life I was breathing smoke
All my life all my life
All my life I was breathing smoke",metal
Prince Buster,All My Loving,"I told you all of my critics I told you all that I was the greatest of all time I told you today Im still the greatest of all time never again defeat me never again say that Im gonna be defeated

Verse 1 L33K I told you niggas I was up to something told you niggas that the tape was coming told you niggas Im forever committed dont know worry about quitting I gotta go get it told you niggas shit was gonna get wicked Tasmanian devil the way that I spit it this ether Im speaking it must be the reason why all of you goofys been sighing and griefing

 Never again theyll make me the underdog till Im about 50 years old then you might get me Im the real champion I told you Im the champion of the world all of you bow all of my critics crawl all you suckers

Verse 2 L33K New Fresh Prince better known as L33K yall small gunners need to take a seat big dog status I aint never average know some lil homies thats wilder beasts man they come from nothing all they know is hunting see bike coming when they rolling deep in the 410 theres two routs to go be book smart or either learn the streets new year new me I aint with it stay the same nigga till the day that Im finished lost a couple homies man I aint even tripping still got my blood brothers and my lil baby sister cropping niggas out I dont need you in the picture everything I say is real i dont fake about my living it been nights when niggas had share one piece of chicken now we walking up in KFC buying out the menu
Feeling good living better hatters cant stop me ever Ima keep pushing till the finished behind closed doors tough guys turn whores talking down on me but that aint none of my business I motivate the young the niggas pushing to the limit never had a silver spoon still cooking in the kitchen get it how you living never give up on the mission if you want to make it out you gotta fight till the finish",reggae
Mary Jane Girls,All Night Long,"Hey boy would you meet me on the roof tonight
I got a surprise for you


All night long
All night long


Oh somethings got me so excited baby
A feelin Ive been holdin back so long
You got me shook up shook down shook out
On your lovin and boy I cant wait to get started lovin you

And now that I can feel you comin closer to me
Im not runnin
Oh may I say
I cant wait to get it on
Im gonna give it to ya


All night long
All night long


Oh somethings got me so delighted baby
I see your face in everything I do
You got me shook up shook down shook up
On your lovin and boy there is just no way Ill ever get over you

All night long
All night long

Ive waited for your love to come
Up to the roof to show you the proof
Its you that I love I love

Up on this rooftop Ill be waiting
For your love anticipating
Hurry up and come
Cause I cant wait to get it on

Im gonna give it to you
All night long
Im gonna give it to you give it to you give it to you give it to you give it to you
Im gonna give it to you
All night long
I cant wait to love you baby

Im gonna give it to you
All night long
Im gonna give it to you give it to you give it to you give it to you give it to you
Im gonna give it to you
All night long
I cant wait to love you boy
Oohooh
Im gonna give it to you
Im gonna give it to you


Climb up on the ladder dont stop
My loves waiting when you reach the top
Im gonna give it to you
All night long

Climb up on the ladder honey
What I got is better than money
All night long

Come on up boy dont be late
What I got for you wont wait
All night long

Oohooh
Im gonna give it to you

Swee dee dee doo doo ya
Twee dee dee doo doo ya1",disco
Easton Corbin,All Over The Road,"No sir I aint been drinking
I aint even had one beer
This sweet things got me buzzin
From whispering in my ear
Just take a peek up in here
At this little hot mess
Mister youll understand
Im doing my best


And I know Im all over the road
I cant help but go
A little bit of left a little bit of right
Its hard to drive with her hand over here on my knee
When shes all over me Im all outta control
All over the road


Dont wanna get no ticket
Dont wanna cause no wreck
Its hard to concentrate with her pretty little lips on my neck
I say Girl take it easy
She laughs says Itll be fine
How am I supposed to keep it between the lines
See Easton Corbin LiveGet tickets as low as 47
Yeah I know Im all over the road
I cant help but go
A little bit of left a little bit of right
Its hard to drive with her hand over here on my knee
When shes all over me Im all outta control
And all over the road


Something bout these wheels rolling
Radio playing gets her going
Im trying to get her home as fast as I can go


And I know Im all over the road
I cant help but go
A little bit of left a little bit of right
Its hard to drive with her hand over here on my knee
Have a little mercy on me
Sir Im sorry I know
Im all over the road
All over the road
All over the road5",Country
blink-182,All The Small Things,"All the small things
True care truth brings
Ill take one lift
Your ride best trip
Always I know
Youll be at my show
Watching waiting
Commiserating


Say it aint so I will not go
Turn the lights off carry me home


Nana nana nana nana na na
Nana nana nana nana na na
Nana nana nana nana na na
Nana nana nana nana na na


Late night come home
Work sucks I know
She left me roses by the stairs
Surprises let me know she cares

Just say it aint so I will not go
Turn the lights off carry me home


Nana nana nana nana na na
Nana nana nana nana na na
Nana nana nana nana na na
Nana nana nana nana na na




Say it aint so I will not go
Turn the lights off carry me home
Keep your head still Ill be your thrill
The night will go on my little windmill


Nana nana nana nana na na
Say it aint so I will not go
Nana nana nana nana na na
Turn the lights off carry me home
Nana nana nana nana na na
Keep your head still Ill be your thrill
Nana nana nana nana na na
The night will go on the night will go on my little windmill44",rock
